n,q,trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
5,3,0,1,13.19939014994636,15.994845396900576,15.994845396900576,1.0
5,3,0,2,13.19939014994636,18.095018476871417,18.095018476871417,1.0
5,3,0,3,13.19939014994636,18.998182187212443,18.998182187212443,1.0
5,3,1,1,14.810254653490889,19.386953624558117,19.386953624558117,1.0
5,3,1,2,14.810254653490889,23.72707952264797,23.72707952264797,1.0
5,3,1,3,14.810254653490889,25.49911489872842,25.49911489872842,1.0
5,3,2,1,16.73193731947345,18.83278236213043,18.83278236213043,1.0
5,3,2,2,16.73193731947345,20.499517954926922,20.499517954926922,1.0
5,3,2,3,16.73193731947345,26.937227381167688,26.654012460711606,0.9722482243283672
5,3,3,1,7.881489321088784,14.926502657598807,14.926502657598807,1.0
5,3,3,2,7.881489321088784,20.020718783969073,20.020718783969073,1.0
5,3,3,3,7.881489321088784,22.7945351945246,22.7945351945246,1.0
5,3,4,1,13.980041505964998,15.71923489453749,15.71923489453749,1.0
5,3,4,2,13.980041505964998,18.009722698926442,18.009722698926442,1.0
5,3,4,3,13.980041505964998,23.491116241683365,21.54227562627357,0.7950977497746896
5,3,5,1,14.303909415097014,19.71713291394677,19.71713291394677,1.0
5,3,5,2,14.303909415097014,23.71515438646916,23.71515438646916,1.0
5,3,5,3,14.303909415097014,25.525666022500374,25.525666022500374,1.0
5,3,6,1,4.129220059721514,5.626779620267354,5.626779620267354,1.0
5,3,6,2,4.129220059721514,8.44175225279894,8.44175225279894,1.0
5,3,6,3,4.129220059721514,16.080577121364694,15.938459534688121,0.9881086653219753
5,3,7,1,11.769851579598322,14.956193190813849,14.956193190813849,1.0
5,3,7,2,11.769851579598322,18.854859221525146,18.854859221525146,1.0
5,3,7,3,11.769851579598322,20.781981324166363,20.781981324166363,1.0
5,3,8,1,15.242080225856146,18.818173197193452,18.818173197193452,1.0
5,3,8,2,15.242080225856146,23.727534978727228,23.727534978727228,1.0
5,3,8,3,15.242080225856146,26.710033611194582,26.710033611194582,1.0
5,3,9,1,14.3389106665293,17.11636948636405,17.11636948636405,1.0
5,3,9,2,14.3389106665293,19.467106415688292,19.467106415688292,1.0
5,3,9,3,14.3389106665293,25.892981280400107,21.446129998063498,0.6151268733810482
5,3,10,1,9.658494497118582,14.036514401156655,14.036514401156655,1.0
5,3,10,2,9.658494497118582,19.80076467403699,19.80076467403699,1.0
5,3,10,3,9.658494497118582,23.511433237477057,23.511433237477057,1.0
5,3,11,1,19.68548410258311,23.467031558873998,23.467031558873998,1.0
5,3,11,2,19.68548410258311,26.55083683336783,26.55083683336783,1.0
5,3,11,3,19.68548410258311,30.77914793193797,28.676498673046865,0.8104639466965547
5,3,12,1,13.603916907217716,16.690578732658526,16.690578732658526,1.0
5,3,12,2,13.603916907217716,18.498267625648246,18.498267625648246,1.0
5,3,12,3,13.603916907217716,21.55747404555006,21.55747404555006,1.0
5,3,13,1,7.548731262468729,12.35127666061539,12.35127666061539,1.0
5,3,13,2,7.548731262468729,17.04526458727573,17.04526458727573,1.0
5,3,13,3,7.548731262468729,19.99104640789262,19.99104640789262,1.0
5,3,14,1,10.107094742510512,14.321758102543086,14.321758102543086,1.0
5,3,14,2,10.107094742510512,19.79051624981524,19.79051624981524,1.0
5,3,14,3,10.107094742510512,23.92009689422861,23.92009689422861,1.0
5,3,15,1,11.338901520623331,12.62973942144506,12.62973942144506,1.0
5,3,15,2,11.338901520623331,16.25698551833979,16.25698551833979,1.0
5,3,15,3,11.338901520623331,17.952231334516778,17.952231334516778,1.0
5,3,16,1,12.428295513286137,17.197228402950778,17.197228402950778,1.0
5,3,16,2,12.428295513286137,19.248984375776214,19.248984375776214,1.0
5,3,16,3,12.428295513286137,20.837067750903064,20.837067750903064,1.0
5,3,17,1,8.450804318418182,10.522916712460633,10.522916712460633,1.0
5,3,17,2,8.450804318418182,15.13384885034747,15.13384885034747,1.0
5,3,17,3,8.450804318418182,18.38524811370985,18.38524811370985,1.0
5,3,18,1,21.18604850246808,24.731444108818685,24.731444108818685,1.0
5,3,18,2,21.18604850246808,26.728197951482024,26.728197951482024,1.0
5,3,18,3,21.18604850246808,31.97547833645366,31.135925992371913,0.9221875152811835
5,3,19,1,22.865239797366883,24.681098973600918,24.681098973600918,1.0
5,3,19,2,22.865239797366883,26.808419903948334,26.808419903948334,1.0
5,3,19,3,22.865239797366883,30.625006892332653,30.625006892332653,1.0
5,3,20,1,13.269177940732671,16.788402654564955,16.788402654564955,1.0
5,3,20,2,13.269177940732671,18.83517365591316,18.83517365591316,1.0
5,3,20,3,13.269177940732671,19.575884443144954,19.575884443144954,1.0
5,3,21,1,12.142289855144707,18.74709080910109,18.74709080910109,1.0
5,3,21,2,12.142289855144707,23.37411313354241,23.37411313354241,1.0
5,3,21,3,12.142289855144707,26.138326223311665,26.138326223311665,1.0
5,3,22,1,8.762694320857953,12.685440194853971,12.685440194853971,1.0
5,3,22,2,8.762694320857953,14.825673573057923,14.825673573057923,1.0
5,3,22,3,8.762694320857953,18.899466246274645,18.899466246274645,1.0
5,3,23,1,8.686139954757364,13.839457220325603,13.839457220325603,1.0
5,3,23,2,8.686139954757364,19.276876870362617,19.276876870362617,1.0
5,3,23,3,8.686139954757364,22.7111660553659,22.7111660553659,1.0
5,3,24,1,8.66379641089565,13.013177630720183,13.013177630720183,1.0
5,3,24,2,8.66379641089565,16.060934477198497,16.060934477198497,1.0
5,3,24,3,8.66379641089565,19.652643930469246,19.652643930469246,1.0
5,3,25,1,6.768506783250654,9.110962068628794,9.110962068628794,1.0
5,3,25,2,6.768506783250654,12.260315154608563,12.260315154608563,1.0
5,3,25,3,6.768506783250654,16.82797053299965,16.82797053299965,1.0
5,3,26,1,10.743003003109308,13.5167960524874,13.5167960524874,1.0
5,3,26,2,10.743003003109308,16.116071461729728,16.116071461729728,1.0
5,3,26,3,10.743003003109308,18.346473629700313,18.346473629700313,1.0
5,3,27,1,13.68590855373752,17.512972214105787,17.512972214105787,1.0
5,3,27,2,13.68590855373752,21.20041577162089,21.20041577162089,1.0
5,3,27,3,13.68590855373752,23.732350842170632,23.732350842170632,1.0
5,3,28,1,9.612088213917323,12.202047236759046,12.202047236759046,1.0
5,3,28,2,9.612088213917323,16.289176476043032,16.289176476043032,1.0
5,3,28,3,9.612088213917323,20.92403147829923,20.92403147829923,1.0
5,3,29,1,6.888565747321689,8.223940741955083,8.223940741955083,1.0
5,3,29,2,6.888565747321689,13.899356737360362,10.205941384406888,0.4731813631013552
5,3,29,3,6.888565747321689,16.167937967366495,16.167937967366495,1.0
5,3,30,1,18.165254739878954,21.419594310455402,21.419594310455402,1.0
5,3,30,2,18.165254739878954,24.41166874622265,24.41166874622265,1.0
5,3,30,3,18.165254739878954,26.85375248665074,26.85375248665074,1.0
